id;origtext;enabled;is_default;default_terms_id;Group Value
8076;JavaFX;1;0;4971;Libraries, Frameworks & Software Standards
8082;Maxymiser;1;0;0;Vendors
8087;Progress Apama;1;1;0;Business Applications
8089;AnthillPro;1;0;0;Not Yet Defined
8090;HIPAA;1;0;0;Quality Assurance & Compliance
8091;Infovista;1;0;0;Vendors
8092;Oracle SCM;1;1;0;Business Applications
8099;Brainbench;1;0;0;Qualifications
8101;WebKit;1;0;0;Libraries, Frameworks & Software Standards
8102;Dovecot;1;0;0;System Software
8108;Ceridian;1;0;0;Vendors
8112;Essbase;1;1;0;Database & Business Intelligence
8117;RightScale;1;0;0;Not Yet Defined
8118;CRISC;1;0;0;Qualifications
8119;FreeHand;1;0;0;Applications
8121;KXEN;1;0;0;Not Yet Defined
8126;Aprimo;1;0;0;Vendors
8128;Mashup;1;0;0;Miscellaneous
8130;Neural Network;1;1;0;Miscellaneous
8131;YUM;1;1;0;Systems Management
8135;IPFX;1;0;0;Vendors
8137;CINEMA 4D;1;0;0;Applications
8139;Draytek;1;0;0;Vendors
8140;OpenSceneGraph;1;1;0;Not Yet Defined
8144;GIMP;1;1;0;Applications
8156;ProxySG;1;0;0;System Software
8158;Build Forge;1;1;0;Development Applications
8159;ActiveReports;1;0;0;Database & Business Intelligence
8161;GLP;1;0;0;Quality Assurance & Compliance
8162;DSLAM;1;0;0;Not Yet Defined
8168;Metrica;1;0;0;Not Yet Defined
8170;HiPortfolio;1;0;0;Business Applications
8172;GNVQ;1;0;0;Qualifications
8173;BT 21CN;1;0;0;Not Yet Defined
8174;CaliberRM;1;0;0;Development Applications
8182;SAP CS;1;1;0;Business Applications
8183;SONET;1;0;0;Communications & Networking
8188;QML;1;0;0;Libraries, Frameworks & Software Standards
8198;uClinux;1;1;0;Operating Systems
8200;Xsan;1;1;0;System Software
8206;NMock;1;0;0;Development Applications
8207;LogiXML;1;0;0;Not Yet Defined
8210;LPIC;1;0;0;Qualifications
8212;SAP EWM;1;1;0;Business Applications
8220;Apache OFBiz;1;1;0;Not Yet Defined
8221;pSOS;1;0;0;Operating Systems
8225;Hazard Analysis;1;0;0;Processes & Methodologies
8226;SystemC;1;0;0;Not Yet Defined
8229;Pegasystems;1;0;0;Not Yet Defined
8237;Embarcadero;1;0;0;Vendors
8248;PEAR;1;0;0;Development Applications
8250;Gentoo;1;1;0;Operating Systems
8251;MD110;1;0;0;Communications & Networking
8253;RNC;1;0;0;Communications & Networking
8266;SCTP;1;0;0;Communications & Networking
8273;Typemock;1;0;0;Vendors
8274;T-Plan;1;0;0;Vendors
8275;Apache Continuum;1;1;0;Development Applications
8283;SAP FS;1;1;0;Business Applications
8284;eCATT;1;0;0;Not Yet Defined
8293;PowerExchange;1;1;0;Application Platforms
8296;Spiceworks;1;0;0;Vendors
